날짜,실측값
1,14.02011346
2,17.743055555555557
3,10.197153766053454
4,14.00208261020479
5,13.673377299548768
6,19.39170731707317
7,22.24843641417651
8,18.270392224921903
9,29.27613754775964
10,17.893876130828115
11,13.461479494059027
12,12.118014578271433
13,12.532823897186523
14,15.8661800486618
15,19.334028501911714
16,16.711458333333333
17,11.087816730301979
18,14.308654848800835
19,23.52216748768473
20,19.46511627906977
21,22.234803751302536
22,11.925321292115317
23,22.783333333333335
24,29.05902777777778
25,26.01736714136853
26,22.096527777777776
27,34.22249219021173
28,32.777854911489065
29,35.91391877820201
30,36.57465277777778
31,40.57098229781326
32,40.615972222222226
33,40.254924242424245
34,34.29558874609239
35,34.321763276640056
36,43.94097222222222
37,55.58729607775078
38,46.10239500173551
39,52.87816730301979
40,43.04928844151336
41,51.356944444444444
42,45.18617575547065
43,41.705555555555556
44,34.21805555555556
45,25.798333911836167
46,33.088510933703574
47,21.862894828184658
48,24.142311697327315
49,37.750780978826796
50,25.849357861853523
