날짜,실측값
1,16.29920167
2,20.96068796
3,15.41062131
4,20.77716071
5,17.50503297
6,23.62787286
7,24.40395971
8,20.99243243
9,32.52314654
10,21.12116992
11,16.84722222
12,15.51006944
13,16.52830844
14,20.00382077
15,24.7344456
16,22.03231411
17,16.12152778
18,20.75173611
19,27.2677442
20,23.70649531
21,28.32939541
22,17.67396594
23,27.44652778
24,35.24366539
25,31.05972222
26,28.73671414
27,41.58521347
28,38.86101459
29,41.67962513
30,44.76535925
31,49.24088858
32,47.01740947
33,50.28348214
34,40.0759538
35,41.62717165
36,48.37873523
37,59.99757029
38,52.07954151
39,59.54137691
40,47.0583508
41,55.36757512
42,49.11284722
43,46.16214335
44,40.29452771
45,29.46095106
46,38.66539396
47,26.42966308
48,30.47175732
49,41.2082316
50,29.70752089

