날짜,실측값
1,28.866412213740457
2,26.626171468240194
3,22.620270739326624
4,25.010065949323153
5,25.03516732841747
6,27.327980535279806
7,34.872922053934246
8,30.273169038528287
9,40.61471711211385
10,35.01528308440431
11,32.026041666666664
12,23.58874609239319
13,22.24608967674661
14,25.055883373828532
15,27.07574704656011
16,29.85451388888889
17,23.619444444444444
18,28.19242792636332
19,29.319943622269204
20,32.096908648836404
21,33.56527777777778
22,25.167766585620008
23,35.02363573166493
24,40.929142063216396
25,40.69722222222222
26,40.309482459187215
27,45.55625
28,45.786458333333336
29,48.34965277777778
30,40.76570635196112
31,48.94515793127386
32,43.23715277777778
33,44.021875
34,39.34397778549115
35,42.18153418951753
36,64.833044081916
37,73.03366886497744
38,56.61699695121951
39,62.59847169155957
40,61.96528982992017
41,62.63055555555555
42,54.10864283234988
43,56.669212079139186
44,46.17042693509198
45,44.84901076015272
46,43.192641443943074
47,33.1291782729805
48,33.56115357887422
49,39.986453629732544
50,34.03934540389972
