날짜,실측값
1,18.087943262411347
2,20.58777817025786
3,16.460531869987335
4,18.90038181187088
5,18.671294689343977
6,22.27202255109232
7,29.357936507936508
8,24.334610027855152
9,35.5778859527121
10,29.047889322454772
11,26.420957542908763
12,18.42311697327317
13,18.05628908964559
14,20.290928050052138
15,20.721391304347826
16,22.794097222222224
17,18.62856150104239
18,20.429565217391303
19,24.226690391459076
20,24.98503306648103
21,26.837152777777778
22,16.40263797292607
23,30.113541666666666
24,35.04308547602502
25,35.096180555555556
26,31.179861111111112
27,40.3125
28,38.42584230635637
29,45.496875
30,38.428472222222226
31,44.15763888888889
32,41.935046891281694
33,38.979805013927574
34,38.89051094890511
35,38.68861024033438
36,60.129739130434785
37,71.38915913829048
38,54.48732198680097
39,59.05553627212773
40,59.67604166666667
41,59.521708926710666
42,52.20049071153172
43,52.07324729682595
44,44.41506801534705
45,39.13120444290177
46,41.98992005561349
47,31.247214484679667
48,29.10246613407433
49,36.343402777777776
50,30.652189020152885
