날짜,실측값
1,14.819338422391857
2,9.613675807011454
3,4.446025685525859
4,6.6878472222222225
5,7.1988892745574455
6,11.901703163017032
7,18.027102154273802
8,12.313779937521694
9,24.615972222222222
10,15.197011813759556
11,10.481140350877194
12,6.223496697949253
13,6.507115584866366
14,9.330440819160014
15,9.598260869565218
16,9.265277777777778
17,6.335416666666666
18,7.781521361583883
19,14.16555360281195
20,11.616747741487144
21,14.109065647794374
22,5.84375
23,18.608061153578873
24,22.71527777777778
25,23.1041305102395
26,16.101736111111112
27,28.72717806317251
28,23.84722222222222
29,30.865671641791046
30,26.946161861757556
31,30.99375
32,29.181534189517528
33,26.04581742450538
34,26.12287400208261
35,25.086775425199583
36,42.713293995140575
37,52.78549114890663
38,37.76875
39,43.766053453661925
40,40.519264144394306
41,44.68031933356473
42,38.4585213467546
43,35.99409722222222
44,29.700401606425704
45,22.839986115931968
46,28.547379382158972
47,17.8380257212374
48,16.872569444444444
49,24.828293361140076
50,18.47566063977747
